北京,20392,20740,20776,20153,19989,19832,19079,228,200,142
天津,17932,16013,15028,13603,12871,12690,12320,759,79,71
河北,26077,22940,20305,19647,18812,17512,14869,8410,6260,5753
山西,13813,13176,13658,14655,13369,12592,12200,8710,3828,3831
内蒙古,16495,10731,11109,11123,10650,9673,9272,2810,2791,3175
辽宁,26222,25344,23603,22215,21521,20251,19219,8449,6439,6472
吉林,13267,12312,13129,12910,11255,10366,10175,4729,4228,3301
黑龙江,20256,19390,17930,14999,15087,13661,11956,5698,5148,4279
上海,24787,24645,24475,24391,23658,23360,23583,7097,7007,7005
江苏,62726,58796,54797,50876,49903,47468,41351,16444,14679,16133
浙江,70040,60102,50273,43797,40606,39982,39989,20022,8947,9150
安徽,14785,13709,12319,11068,10535,9551,8948,5026,4022,3772
福建,23563,21757,19675,17030,15627,15209,13555,6685,3607,3636
江西,14311,13467,11718,11291,11648,10968,9934,4762,2701,3189
山东,82149,70922,59238,51412,44682,41492,39470,18296,18845,14182
河南,20840,19697,20866,18171,18337,17035,16362,9475,5647,5481
湖北,18826,20773,18541,16427,17354,16456,16735,12089,6507,6258
湖南,17779,15981,14698,13764,14132,15631,14791,5433,5095,5020
广东,102707,96224,94568,89133,87797,79498,69785,24030,17677,16438
广西,13143,11465,10699,9733,9323,8360,8099,4960,3058,3143
海南,5866,5856,4758,4022,5600,4737,3818,1211,580,486
重庆,14565,13544,12191,17142,8959,8950,11200,2724,3050,2939
四川,24910,22831,20883,19975,19180,16748,15258,8705,5090,5980
贵州,8656,6990,6269,5300,5305,5201,5143,2790,1135,1107
云南,20821,19883,16679,15126,16329,16240,13218,5928,2588,2552
西藏,1035,1035,997,963,834,790,949,748,262,262
陕西,10542,9883,9470,8783,9207,8857,8697,2620,2028,2057
甘肃,6429,5935,5872,4969,4907,4513,4173,2405,2171,1366
青海,3039,2276,1978,1979,1937,1870,1554,1057,522,515
宁夏,5019,5036,5890,5342,4813,4658,4325,2708,847,696
新疆,8429,8184,7663,7583,7568,7103,10258,4241,2311,2410
