北京,68484,68284,67546,67046,66646,66646,66646,66646,66646,66646
天津,31940,31940,31940,31940,31940,31940,31940,31940,31939,31939
河北,53034,51407,50435,49792,49130,47441,46016,46597,47822,47538
山西,30690,30696,30401,34906,29700,29116,28848,28729,28475,27658
内蒙古,45499,39359,38347,38120,37778,37520,37131,43084,36517,36047
辽宁,80743,80997,80951,79607,79868,79248,79890,77295,80376,79365
吉林,56413,56447,55725,55096,55457,54922,54933,53472,55365,55456
黑龙江,64158,65421,65068,62699,62651,62092,61129,62012,56464,55429
上海,47271,49586,50738,50612,50683,50438,50007,49111,48059,48614
江苏,53376,53399,53488,49501,47269,46342,46075,45016,44708,44993
浙江,37781,37416,36732,35449,34165,33285,32532,31116,33208,32431
安徽,39199,39190,38792,37833,37142,36525,36681,35591,35382,34391
福建,21727,21449,20380,19391,18325,17491,16782,14291,15905,15736
江西,13712,13587,13369,12854,11998,11444,10854,10785,10562,10483
山东,61314,61231,60119,59080,58758,58462,57687,57278,56325,55312
河南,46598,46342,46247,45483,45518,44539,44525,45001,46610,46054
湖北,36415,36127,35182,34394,33520,30845,31325,28230,27618,27827
湖南,26173,25945,25846,24973,24031,23648,23778,24258,22731,23381
广东,68504,68137,66135,65315,62243,60624,59972,57789,55825,51566
广西,17337,17025,16592,15249,15015,14139,13566,13888,13993,12426
海南,6683,6296,6105,5594,4998,4651,3978,3687,3843,3894
重庆,21100,20631,19629,17096,15520,15004,14021,9295,12454,17208
四川,33394,35342,34304,33142,31818,29495,27022,25622,28116,25002
贵州,19021,17399,15967,15266,13266,10260,9091,8652,8457,8542
云南,19130,18793,17746,17580,17302,15415,15164,14752,15903,15668
西藏,1882,1882,1554,1354,1379,1379,1357,1544,1341,1341
陕西,24458,24052,23766,22684,22657,22385,21288,20278,20003,21392
甘肃,23395,21422,20337,20687,19324,19465,19309,21347,20615,20528
青海,8344,8006,7269,7119,7119,7119,7119,7041,6599,6547
宁夏,12504,12571,12831,13189,13107,12827,12978,12582,12336,11985
新疆,32284,31704,30845,30529,28351,27599,24546,24650,24614,24269
